[LOAD] Qwen2.5-Coder-7B-Instruct fp16 on cuda:0
  [P10 5/164] HumanEval/4 16128ms 331tok n=1
  [P10 6/164] HumanEval/5 2842ms 58tok n=1
  [P10 7/164] HumanEval/6 5475ms 112tok n=1
  [P10 8/164] HumanEval/7 2099ms 43tok n=1
  [P10 9/164] HumanEval/8 3406ms 70tok n=1
  [P10 10/164] HumanEval/9 24922ms 512tok n=1
  [P10 11/164] HumanEval/10 3278ms 67tok n=1
  [P10 12/164] HumanEval/11 25175ms 512tok n=1
  [P10 13/164] HumanEval/12 4339ms 88tok n=1
  [P10 14/164] HumanEval/13 2086ms 42tok n=1
  [P10 15/164] HumanEval/14 25168ms 512tok n=1
  [P10 16/164] HumanEval/15 10175ms 209tok n=1
  [P10 17/164] HumanEval/16 8871ms 182tok n=1
  [P10 18/164] HumanEval/17 3090ms 63tok n=1
  [P10 19/164] HumanEval/18 2106ms 43tok n=1
  [P10 20/164] HumanEval/19 5616ms 115tok n=1
  [P10 21/164] HumanEval/20 10700ms 219tok n=1
  [P10 22/164] HumanEval/21 6557ms 133tok n=1
  [P10 23/164] HumanEval/22 2730ms 55tok n=1
  [P10 24/164] HumanEval/23 1239ms 25tok n=1
  [P10 25/164] HumanEval/24 11159ms 226tok n=1
  [P10 26/164] HumanEval/25 3267ms 66tok n=1
  [P10 27/164] HumanEval/26 1998ms 40tok n=1
  [P10 28/164] HumanEval/27 7609ms 154tok n=1
  [P10 29/164] HumanEval/28 1935ms 39tok n=1
  [P10 30/164] HumanEval/29 2188ms 44tok n=1
  [P10 31/164] HumanEval/30 5458ms 110tok n=1
  [P10 32/164] HumanEval/31 7875ms 159tok n=1
  [P10 33/164] HumanEval/32 6362ms 130tok n=1
  [P10 34/164] HumanEval/33 3720ms 76tok n=1
  [P10 35/164] HumanEval/34 3571ms 73tok n=1
  [P10 36/164] HumanEval/35 3524ms 72tok n=1
  [P10 37/164] HumanEval/36 12526ms 257tok n=1
  [P10 38/164] HumanEval/37 2936ms 60tok n=1
  [P10 39/164] HumanEval/38 10155ms 208tok n=1
  [P10 40/164] HumanEval/39 13899ms 285tok n=1
  [P10 41/164] HumanEval/40 13829ms 282tok n=1
  [P10 42/164] HumanEval/41 3701ms 75tok n=1
  [P10 43/164] HumanEval/42 5019ms 102tok n=1
  [P10 44/164] HumanEval/43 18850ms 383tok n=1
  [P10 45/164] HumanEval/44 4400ms 89tok n=1
  [P10 46/164] HumanEval/45 2067ms 42tok n=1
  [P10 47/164] HumanEval/46 12368ms 251tok n=1
  [P10 48/164] HumanEval/47 6909ms 140tok n=1
  [P10 49/164] HumanEval/48 1396ms 28tok n=1
  [P10 50/164] HumanEval/49 1528ms 30tok n=1
  [P10 51/164] HumanEval/50 9070ms 186tok n=1
  [P10 52/164] HumanEval/51 5279ms 108tok n=1
  [P10 53/164] HumanEval/52 8678ms 178tok n=1
  [P10 54/164] HumanEval/53 15105ms 310tok n=1
  [P10 55/164] HumanEval/54 7990ms 164tok n=1
  [P10 56/164] HumanEval/55 4196ms 86tok n=1
  [P10 57/164] HumanEval/56 5959ms 122tok n=1
  [P10 58/164] HumanEval/57 3334ms 68tok n=1
  [P10 59/164] HumanEval/58 9100ms 185tok n=1
  [P10 60/164] HumanEval/59 12609ms 256tok n=1
  [P10 61/164] HumanEval/60 9855ms 200tok n=1
  [P10 62/164] HumanEval/61 5784ms 117tok n=1
  [P10 63/164] HumanEval/62 3011ms 61tok n=1
  [P10 64/164] HumanEval/63 10618ms 215tok n=1
  [P10 65/164] HumanEval/64 6086ms 123tok n=1
  [P10 66/164] HumanEval/65 6587ms 135tok n=1
  [P10 67/164] HumanEval/66 5913ms 121tok n=1
  [P10 68/164] HumanEval/67 10034ms 206tok n=1
  [P10 69/164] HumanEval/68 3793ms 77tok n=1
  [P10 70/164] HumanEval/69 6836ms 140tok n=1
  [P10 71/164] HumanEval/70 16374ms 336tok n=1
  [P10 72/164] HumanEval/71 8060ms 163tok n=1
  [P10 73/164] HumanEval/72 735ms 14tok n=1
  [P10 74/164] HumanEval/73 7033ms 142tok n=1
  [P10 75/164] HumanEval/74 6973ms 141tok n=1
  [P10 76/164] HumanEval/75 9491ms 192tok n=1
  [P10 77/164] HumanEval/76 4249ms 86tok n=1
  [P10 78/164] HumanEval/77 4771ms 96tok n=1
  [P10 79/164] HumanEval/78 8149ms 164tok n=1
  [P10 80/164] HumanEval/79 11755ms 241tok n=1
  [P10 81/164] HumanEval/80 4788ms 98tok n=1
  [P10 82/164] HumanEval/81 16313ms 335tok n=1
  [P10 83/164] HumanEval/82 8171ms 167tok n=1
  [P10 84/164] HumanEval/83 7532ms 152tok n=1
  [P10 85/164] HumanEval/84 12515ms 252tok n=1
  [P10 86/164] HumanEval/85 4890ms 98tok n=1
  [P10 87/164] HumanEval/86 6207ms 125tok n=1
  [P10 88/164] HumanEval/87 9148ms 185tok n=1
  [P10 89/164] HumanEval/88 11201ms 229tok n=1
  [P10 90/164] HumanEval/89 7223ms 148tok n=1
  [P10 91/164] HumanEval/90 2888ms 59tok n=1
  [P10 92/164] HumanEval/91 11361ms 233tok n=1
  [P10 93/164] HumanEval/92 1709ms 34tok n=1
  [P10 94/164] HumanEval/93 10384ms 209tok n=1
  [P10 95/164] HumanEval/94 19384ms 391tok n=1
  [P10 96/164] HumanEval/95 14787ms 301tok n=1
  [P10 97/164] HumanEval/96 11110ms 228tok n=1
  [P10 98/164] HumanEval/97 11702ms 240tok n=1
  [P10 99/164] HumanEval/98 14726ms 297tok n=1
  [P10 100/164] HumanEval/99 13794ms 277tok n=1
  [P10 101/164] HumanEval/100 10278ms 208tok n=1
  [P10 102/164] HumanEval/101 8402ms 172tok n=1
  [P10 103/164] HumanEval/102 6442ms 132tok n=1
  [P10 104/164] HumanEval/103 6072ms 124tok n=1
  [P10 105/164] HumanEval/104 5815ms 119tok n=1
  [P10 106/164] HumanEval/105 16357ms 330tok n=1
  [P10 107/164] HumanEval/106 6866ms 138tok n=1
  [P10 108/164] HumanEval/107 8776ms 177tok n=1
  [P10 109/164] HumanEval/108 11079ms 223tok n=1
  [P10 110/164] HumanEval/109 8197ms 167tok n=1
  [P10 111/164] HumanEval/110 3971ms 81tok n=1
  [P10 112/164] HumanEval/111 13790ms 283tok n=1
  [P10 113/164] HumanEval/112 3241ms 66tok n=1
  [P10 114/164] HumanEval/113 11911ms 240tok n=1
  [P10 115/164] HumanEval/114 16536ms 332tok n=1
  [P10 116/164] HumanEval/115 7559ms 151tok n=1
  [P10 117/164] HumanEval/116 24944ms 512tok n=1
  [P10 118/164] HumanEval/117 14449ms 292tok n=1
  [P10 119/164] HumanEval/118 6823ms 137tok n=1
  [P10 120/164] HumanEval/119 7841ms 158tok n=1
  [P10 121/164] HumanEval/120 1735ms 34tok n=1
  [P10 122/164] HumanEval/121 3850ms 78tok n=1
  [P10 123/164] HumanEval/122 3925ms 79tok n=1
  [P10 124/164] HumanEval/123 12524ms 257tok n=1
  [P10 125/164] HumanEval/124 19175ms 393tok n=1
  [P10 126/164] HumanEval/125 7454ms 167tok n=1
  [P10 127/164] HumanEval/126 15215ms 387tok n=1
  [P10 128/164] HumanEval/127 7742ms 197tok n=1
  [P10 129/164] HumanEval/128 5732ms 145tok n=1
  [P10 130/164] HumanEval/129 3379ms 84tok n=1
  [P10 131/164] HumanEval/130 2477ms 63tok n=1
  [P10 132/164] HumanEval/131 4042ms 104tok n=1
  [P10 133/164] HumanEval/132 5188ms 134tok n=1
  [P10 134/164] HumanEval/133 5007ms 129tok n=1
  [P10 135/164] HumanEval/134 6647ms 172tok n=1
  [P10 136/164] HumanEval/135 3146ms 81tok n=1
  [P10 137/164] HumanEval/136 9024ms 231tok n=1
  [P10 138/164] HumanEval/137 10776ms 273tok n=1
  [P10 139/164] HumanEval/138 4670ms 118tok n=1
  [P10 140/164] HumanEval/139 7128ms 180tok n=1
  [P10 141/164] HumanEval/140 10371ms 266tok n=1
  [P10 142/164] HumanEval/141 2118ms 54tok n=1
  [P10 143/164] HumanEval/142 5183ms 133tok n=1
  [P10 144/164] HumanEval/143 5119ms 132tok n=1
  [P10 145/164] HumanEval/144 6045ms 156tok n=1
  [P10 146/164] HumanEval/145 1068ms 27tok n=1
  [P10 147/164] HumanEval/146 5115ms 132tok n=1
  [P10 148/164] HumanEval/147 1193ms 30tok n=1
  [P10 149/164] HumanEval/148 6850ms 177tok n=1
  [P10 150/164] HumanEval/149 4839ms 125tok n=1
  [P10 151/164] HumanEval/150 3983ms 101tok n=1
  [P10 152/164] HumanEval/151 9913ms 253tok n=1
  [P10 153/164] HumanEval/152 4333ms 110tok n=1
  [P10 154/164] HumanEval/153 11027ms 281tok n=1
  [P10 155/164] HumanEval/154 5142ms 131tok n=1
  [P10 156/164] HumanEval/155 11075ms 283tok n=1
  [P10 157/164] HumanEval/156 15038ms 388tok n=1
  [P10 158/164] HumanEval/157 4142ms 107tok n=1
  [P10 159/164] HumanEval/158 5180ms 134tok n=1
  [P10 160/164] HumanEval/159 4751ms 122tok n=1
  [P10 161/164] HumanEval/160 4074ms 105tok n=1
  [P10 162/164] HumanEval/161 5655ms 146tok n=1
  [P10 163/164] HumanEval/162 9384ms 240tok n=1
  [P10 164/164] HumanEval/163 10631ms 271tok n=1
[DONE] P10
=== HEPLUS GEN ALL DONE ===
